"","entrezgene_id","ensembl_gene_id","hgnc_symbol","ensembl_transcript_id"
"103",79913,"ENSG00000101442","ACTR5","ENST00000243903"
"104",27304,"ENSG00000124217","MOCS3","ENST00000244051"
"105",400961,"ENSG00000124374","PAIP2B","ENST00000244221"
"106",5190,"ENSG00000124587","PEX6","ENST00000244546"
"107",222643,"ENSG00000124602","UNC5CL","ENST00000244565"
"108",10930,"ENSG00000124701","APOBEC2","ENST00000244669"
"109",6659,"ENSG00000124766","SOX4","ENST00000244745"
"110",6662,"ENSG00000125398","SOX9","ENST00000245479"
"111",8744,"ENSG00000125657","TNFSF9","ENST00000245817"
"112",6238,"ENSG00000125844","RRBP1","ENST00000246043"
"113",24141,"ENSG00000125869","LAMP5","ENST00000246070"
"114",10893,"ENSG00000125966","MMP24","ENST00000246186"
"115",5326,"ENSG00000126003","PLAGL2","ENST00000246229"
"116",79414,"ENSG00000126243","LRFN3","ENST00000246529"
"117",9572,"ENSG00000126368","NR1D1","ENST00000246672"
"118",3306,"ENSG00000126803","HSPA2","ENST00000247207"
"119",81537,"ENSG00000126821","SGPP1","ENST00000247225"
"120",27153,"ENSG00000196453","ZNF777","ENST00000247930"
"121",64718,"ENSG00000059145","UNKL","ENST00000248104"
"122",148022,"ENSG00000127666","TICAM1","ENST00000248244"
"123",2791,"ENSG00000127920","GNG11","ENST00000248564"
"124",57622,"ENSG00000128011","LRFN1","ENST00000248668"
"125",9459,"ENSG00000129675","ARHGEF6","ENST00000250617"
"126",79023,"ENSG00000075188","NUP37","ENST00000251074"
"127",283638,"ENSG00000099814","CEP170B","ENST00000251181"
"128",56986,"ENSG00000104047","DTWD1","ENST00000251250"
"129",610,"ENSG00000099822","HCN2","ENST00000251287"
"130",57221,"ENSG00000112379","ARFGEF3","ENST00000251691"
"131",6674,"ENSG00000104450","SPAG1","ENST00000251809"
"132",3741,"ENSG00000130037","KCNA5","ENST00000252321"
"133",84262,"ENSG00000157778","PSMG3","ENST00000252329"
"134",9754,"ENSG00000130052","STARD8","ENST00000252336"
"135",27112,"ENSG00000130054","NALF2","ENST00000252338"
"136",64981,"ENSG00000130312","MRPL34","ENST00000252602"
"137",57688,"ENSG00000130449","ZSWIM6","ENST00000252744"
"138",140628,"ENSG00000130700","GATA5","ENST00000252997"
"139",54958,"ENSG00000130748","TMEM160","ENST00000253047"
"140",83667,"ENSG00000130766","SESN2","ENST00000253063"
"141",54754,"ENSG00000130950","NUTM2F","ENST00000253262"
"142",10882,"ENSG00000131094","C1QL1","ENST00000253407"
"143",56135,"ENSG00000248383","PCDHAC1","ENST00000253807"
"144",6737,"ENSG00000132109","TRIM21","ENST00000254436"
"145",57050,"ENSG00000132467","UTP3","ENST00000254803"
"146",4147,"ENSG00000132561","MATN2","ENST00000254898"
"147",29107,"ENSG00000132661","NXT1","ENST00000254998"
"148",140831,"ENSG00000132801","ZSWIM3","ENST00000255152"
"149",79589,"ENSG00000133135","RNF128","ENST00000255499"
"150",79879,"ENSG00000100147","CCDC134","ENST00000255784"
"151",79845,"ENSG00000133874","RNF122","ENST00000256257"
"152",11161,"ENSG00000133935","ERG28","ENST00000256319"
"153",23508,"ENSG00000133985","TTC9","ENST00000256367"
"154",3656,"ENSG00000134070","IRAK2","ENST00000256458"
"155",9363,"ENSG00000134594","RAB33A","ENST00000257017"
"156",85025,"ENSG00000135211","TMEM60","ENST00000257663"
"157",112609,"ENSG00000135324","MRAP2","ENST00000257776"
"158",65080,"ENSG00000135900","MRPL44","ENST00000258383"
"159",79074,"ENSG00000135974","C2orf49","ENST00000258457"
"160",55270,"ENSG00000136159","NUDT15","ENST00000258662"
"161",84811,"ENSG00000137656","BUD13","ENST00000260210"
"162",2230,"ENSG00000137714","FDX1","ENST00000260270"
