"","x"
"251","NM_002744.6"
"252","XM_017001790.2"
"253","XM_047425260.1"
"254","XM_047425262.1"
"255","XM_011541776.2"
"256","XM_017001792.2"
"257","NM_001033581.3"
"258","NM_001350803.2"
"259","NM_001350804.2"
"260","NM_001350806.2"
"261","NR_146911.2"
"262","XM_011541774.2"
"263","NM_001242874.3"
"264","NM_001350805.2"
"265","XM_047425283.1"
"266","XM_024448391.2"
"267","XM_024448396.2"
"268","NM_001033582.3"
"269","XM_047425323.1"
"270","XM_047425304.1"
"271","XM_047425340.1"
"272","XM_047425348.1"
"273","XM_047425273.1"
"274","XM_017001793.2"
"275","XM_047425307.1"
"276","XM_017001797.2"
"277","XM_024448397.2"
"278","XM_017001802.2"
"279","NM_001256945.2"
"280","NM_001282671.2"
"281","NM_001282672.2"
"282","NM_001282673.2"
"283","XM_017000554.3"
"284","NM_001146310.2"
"285","XM_047448526.1"
"286","NM_001256947.2"
"287","NM_182533.4"
"288","NR_046427.2"
"289","XM_047448563.1"
"290","XM_047448545.1"
"291","XM_047448522.1"
"292","XM_047448529.1"
"293","NM_001282670.2"
"294","NM_001256946.2"
"295","XM_047448555.1"
"296","XM_047448559.1"
"297","XM_047448539.1"
"298","XM_047448550.1"
"299","XM_047448544.1"
"300","XM_047448519.1"
"301","XM_047448516.1"
"302","XM_047448517.1"
"303","NM_003036.4"
"304","XM_005244775.4"
"305","XM_005244776.5"
"306","XM_047428466.1"
"307","XM_017002128.2"
"308","NM_024848.3"
"309","NM_001301060.2"
"310","NR_125361.2"
"311","NM_007033.5"
"312","NM_001374425.1"
"313","NM_002617.4"
"314","NM_153818.2"
"315","NM_001374426.1"
"316","NM_001374427.1"
"317","NR_164636.1"
"318","XM_047422539.1"
"319","XM_011541576.3"
"320","NR_036637.2"
"321","NR_036638.2"
"322","NM_001195736.3"
"323","NM_001195737.3"
"324","NM_001195738.3"
"325","NM_001195740.3"
"326","NM_001195741.3"
"327","NM_152371.5"
"328","XM_006710354.4"
"329","XM_011540665.2"
"330","XM_047445405.1"
"331","XM_047445406.1"
"332","NR_015440.1"
"333","NR_024371.1"
"334","NM_022114.4"
"335","NM_199454.3"
"336","NM_014448.4"
"337","XM_017001051.2"
"338","XM_047418009.1"
"339","XM_017001049.2"
"340","XM_024446454.2"
"341","XM_024446455.2"
"342","XM_047448256.1"
"343","NM_001410718.1"
"344","XM_011540887.3"
"345","XM_047448238.1"
"346","XM_047448239.1"
"347","XM_047448242.1"
"348","XM_047448245.1"
"349","XM_047448247.1"
"350","XM_047448251.1"
"351","XM_047448255.1"
"352","NM_001409.4"
"353","XM_047448204.1"
"354","XM_047448205.1"
"355","XM_047448215.1"
"356","XM_047448217.1"
"357","XM_047448220.1"
"358","XM_047448221.1"
"359","XM_047448228.1"
"360","XM_047448229.1"
"361","XM_047448232.1"
"362","XM_011540886.3"
"363","XM_017000533.3"
"364","XM_011540888.4"
"365","NM_182752.4"
"366","NM_017818.4"
"367","XM_005244754.3"
"368","XM_017001387.3"
"369","XM_047421661.1"
"370","XM_047421663.1"
"371","NM_152492.3"
"372","NM_001163724.3"
"373","NM_001288583.2"
"374","NM_001379690.1"
"375","NM_001379691.1"
"376","XM_047420003.1"
"377","NM_020710.3"
"378","NM_014704.4"
"379","XM_005244815.5"
"380","XM_024451101.2"
"381","XM_024451102.2"
"382","XM_024451104.2"
"383","XM_024451106.2"
"384","XM_047435158.1"
"385","XM_047435161.1"
"386","XM_024451108.2"
"387","XM_011540865.3"
"388","NM_001282669.2"
"389","NM_001320132.2"
"390","NM_001320136.2"
"391","NM_004402.4"
"392","NR_104222.2"
"393","NR_135150.2"
"394","NR_135151.2"
"395","NR_135152.2"
"396","XM_017000498.3"
"397","XM_017000499.2"
"398","XM_017000500.2"
"399","XR_002959574.2"
"400","XR_946563.3"
"401","XR_946565.2"
"402","NM_207356.3"
"403","XM_047419221.1"
"404","XM_017001001.2"
"405","XM_047417607.1"
"406","XM_017001000.3"
"407","XM_011541213.2"
"408","XM_011541214.2"
"409","XM_011541215.2"
"410","XM_017000996.2"
"411","XM_047417555.1"
"412","XM_047417565.1"
"413","XM_047417593.1"
"414","XM_011541216.3"
"415","XM_011541217.3"
