"","0bp","2bp","4bp","6bp","8bp","10bp","12bp","14bp","16bp","18bp","20bp","22bp","24bp","26bp","28bp","30bp","32bp","34bp","36bp","38bp","40bp","42bp","44bp","46bp","48bp","50bp"
"trimmed_Ind6_71M24h_S10_R2",18,94,46,32,232,20,115,44,219,716,1452,1078,2333,37193,53795,46136,117680,340704,822539,955952,970612,998449,1101522,1272586,1074373,"33207684.0"
"trimmed_Ind6_71M3h_S4_R1",6,50,16,6,184,33,70,51,143,644,1132,1367,2832,46091,68233,75383,167235,409244,904886,966070,1134706,1156879,1195977,1304660,1125331,"36896826.0"
"trimmed_Ind6_71M3h_S4_R2",6,47,16,6,182,35,70,51,142,615,1113,1328,2790,45912,68029,75068,166660,408198,902604,963536,1132226,1148298,1192449,1300050,1124232,"36924392.0"
"trimmed_Ind6_71T24h_S11_R1",12,86,6,8,58,26,274,16,28,137,310,256,560,13617,20326,18108,41542,123199,320191,378238,439385,477864,534083,670629,745670,"31915904.0"
"trimmed_Ind6_71T24h_S11_R2",12,86,6,10,59,26,274,16,28,134,308,257,557,13606,20321,18095,41474,123071,319928,377729,439231,476784,534827,670064,747312,"31916318.0"
"trimmed_Ind6_71T3h_S5_R1",9,60,34,7,167,32,118,31,72,352,759,707,1659,35600,47877,46565,106686,259057,585011,627174,702103,728580,780642,899018,841725,"30210979.0"
"trimmed_Ind6_71T3h_S5_R2",9,60,34,7,164,31,119,31,69,348,746,703,1646,35572,47844,46500,106579,258785,584360,626392,701371,725572,780462,897872,842436,"30217312.0"
"trimmed_Ind6_71V24h_S12_R1",59,316,24,21,167,66,1013,65,114,454,953,899,1869,31211,47305,44522,88721,245387,631025,700519,845490,871720,935348,1057402,969652,"33342336.0"
"trimmed_Ind6_71V24h_S12_R2",58,320,23,22,167,66,1011,63,112,442,947,897,1847,31139,47238,44404,88535,244860,629885,699109,844103,866291,933347,1054854,970030,"33356888.0"
"trimmed_Ind6_71V3h_S6_R1",12,93,32,10,213,28,170,16,98,366,733,701,1533,37101,55874,57240,143311,357541,794810,856448,949316,997552,1060784,1165933,1012120,"35116405.0"
"trimmed_Ind6_71V3h_S6_R2",12,92,32,10,211,28,170,16,98,360,720,698,1505,37003,55763,57065,143004,356824,793402,854655,947797,991159,1057871,1163852,1010340,"35135753.0"
