"","0bp","2bp","4bp","6bp","8bp","10bp","12bp","14bp","16bp","18bp","20bp","22bp","24bp","26bp","28bp","30bp","32bp","34bp","36bp","38bp","40bp","42bp","44bp","46bp","48bp","50bp"
"trimmed_Ind4_79E3h_S3_R1",68,227,253,129,549,100,307,71,221,893,1870,1945,4207,50083,74708,70843,139896,351666,800653,952816,1046855,1087195,1164400,1832317,0,"35914339.0"
"trimmed_Ind4_79E3h_S3_R2",65,228,248,129,548,99,306,69,220,882,1856,1925,4146,49992,74549,70692,139622,350797,798855,950836,1040992,1076487,1153280,1818847,0,"35960941.0"
"trimmed_Ind4_79M24h_S10_R1",10,24,41,6,40,4,24,7,7,66,142,157,426,11322,18043,13953,23072,57060,166171,238359,270026,317479,391763,1078271,0,"38444028.0"
"trimmed_Ind4_79M24h_S10_R2",10,25,41,6,41,4,24,7,6,67,143,156,417,11263,17968,13920,22975,56902,165616,237539,267892,314491,388244,1067287,0,"38465457.0"
"trimmed_Ind4_79M3h_S4_R1",146,335,204,124,670,73,183,40,119,511,1127,927,2283,44638,59986,40764,73078,201982,561810,726802,760257,824035,944219,1679681,0,"36040613.0"
"trimmed_Ind4_79M3h_S4_R2",130,317,197,124,658,73,183,39,117,502,1114,918,2278,44507,59805,40588,72859,201418,560335,725098,755378,815480,934432,1664658,0,"36083399.0"
"trimmed_Ind4_79T24h_S11_R1",31,153,45,28,117,11,229,12,10,61,177,211,601,17069,24895,17800,30586,75210,204943,274684,302457,350962,439158,1200631,0,"42497848.0"
"trimmed_Ind4_79T24h_S11_R2",31,152,45,28,115,11,230,12,9,58,175,208,595,17027,24806,17725,30469,74927,204212,273791,300201,346478,434486,1191763,0,"42520375.0"
"trimmed_Ind4_79T3h_S5_R1",116,351,152,113,520,69,216,45,174,623,1676,1340,2967,63512,87745,60530,102770,276727,795462,1073571,1143420,1216423,1380415,2322022,0,"44897263.0"
"trimmed_Ind4_79T3h_S5_R2",110,340,148,114,512,71,211,44,171,603,1647,1314,2911,63238,87385,60283,102348,275591,792715,1070108,1135514,1202390,1366459,2301194,0,"44962801.0"
"trimmed_Ind4_79V24h_S12_R1",47,177,79,34,148,34,436,14,20,147,310,300,831,26352,37931,26392,43932,110226,293827,383144,402717,454990,537528,1173851,0,"35013277.0"
"trimmed_Ind4_79V24h_S12_R2",47,176,79,34,148,34,438,14,20,146,307,298,834,26401,38025,26443,43981,110219,293873,383300,402811,454705,536313,1167123,0,"35020975.0"
"trimmed_Ind4_79V3h_S6_R1",76,188,141,103,404,47,109,24,123,632,1363,1115,2368,47544,64719,43928,71932,204816,650624,927568,987774,1044619,1190105,1875725,0,"30315617.0"
"trimmed_Ind4_79V3h_S6_R2",75,182,141,104,401,47,109,22,124,621,1360,1091,2343,47507,64631,43883,71804,204370,649477,925964,983270,1036537,1181836,1863274,0,"30352491.0"
"trimmed_Ind5_78DA24h_S7_R1",12,35,26,5,52,33,154,26,46,169,416,405,1085,14018,21476,19335,44756,125696,316547,418729,464299,513423,620326,1491454,0,"42846799.0"
"trimmed_Ind5_78DA24h_S7_R2",12,35,26,5,51,30,154,25,45,165,414,402,1088,13983,21437,19259,44595,125278,315813,417610,463034,512336,619431,1489877,0,"42854217.0"
"trimmed_Ind5_78DA3h_S1_R1",65,577,95,47,223,105,1540,114,131,382,936,891,3059,35452,55649,66442,102317,226851,556515,738149,847329,936491,1032675,1826574,0,"43410858.0"
"trimmed_Ind5_78DA3h_S1_R2",64,569,93,47,221,101,1535,111,134,376,923,887,3035,35316,55509,66253,102022,226339,555764,737228,846435,936208,1032497,1822776,0,"43419024.0"
"trimmed_Ind5_78DX24h_S8_R1",2,26,4,4,91,15,98,18,67,293,597,513,1235,28051,41158,29919,51635,132196,355161,468256,514168,564979,639125,1256099,0,"32782696.0"
"trimmed_Ind5_78DX24h_S8_R2",2,26,4,4,91,15,98,18,67,295,597,513,1226,28020,41175,29919,51655,132115,355011,468091,514839,566778,640476,1251139,0,"32784232.0"
"trimmed_Ind5_78DX3h_S2_R1",58,219,136,65,190,90,908,202,74,344,734,764,2228,31251,50271,57327,94263,201306,521368,739800,861419,956880,1062677,1881487,0,"43720427.0"
